record_id,timestamp,user_id,user_role,table_accessed,query_type,query_count,session_duration_sec,ip_address,data_transferred_kb,failed_attempts,is_anomaly,anomaly_type
1,2025-01-01 07:00:10,analyst_07,analyst,inventory,SELECT,10,1742,10.0.0.18,231.46044204900278,0,0,normal
2,2025-01-01 07:00:42,user_027,normal,orders,SELECT,4,970,192.168.1.49,143.22100679679707,0,0,normal
3,2025-01-01 07:06:12,user_049,normal,products,SELECT,1,1186,192.168.1.16,27.173610331712023,0,0,normal
4,2025-01-01 07:07:10,user_024,normal,customers,SELECT,9,1129,192.168.1.38,7.686445108652931,0,0,normal
5,2025-01-01 07:10:11,admin_04,admin,invoices,INSERT,10,1265,10.0.0.24,20.84041614360645,0,0,normal
6,2025-01-01 07:11:07,admin_02,admin,inventory,SELECT,13,256,192.168.2.45,27.442285089173744,0,0,normal
7,2025-01-01 07:11:21,analyst_06,analyst,customers,SELECT,12,1003,192.168.1.48,169.07595957172398,0,0,normal
8,2025-01-01 07:18:45,admin_02,admin,products,UPDATE,6,292,192.168.2.45,329.1724972436397,0,0,normal
9,2025-01-01 07:38:08,analyst_02,analyst,products,INSERT,15,1766,192.168.1.23,17.646929682639698,0,0,normal
10,2025-01-01 07:38:27,user_006,normal,products,SELECT,6,446,192.168.2.47,38.174992294642344,0,0,normal
11,2025-01-01 07:40:16,user_041,normal,customers,INSERT,1,1093,192.168.2.2,133.1912971258175,0,0,normal
12,2025-01-01 07:49:50,user_009,normal,invoices,SELECT,9,553,192.168.2.1,208.03120815936168,0,0,normal
13,2025-01-01 07:53:19,user_043,normal,sales,SELECT,5,364,192.168.2.42,92.94962453380751,0,0,normal
14,2025-01-01 07:54:02,user_050,normal,customers,SELECT,6,1067,192.168.1.23,36.32737960363695,0,0,normal
15,2025-01-01 07:56:13,analyst_07,analyst,transactions,SELECT,19,1303,10.0.0.18,177.2999750574321,0,0,normal
16,2025-01-01 07:59:23,user_018,normal,orders,SELECT,2,1162,10.0.0.26,162.74668279520355,0,0,normal
17,2025-01-01 08:00:54,admin_03,admin,credentials,SELECT,4,1288,192.168.1.21,177.71301495105618,0,0,normal
18,2025-01-01 08:06:02,analyst_04,analyst,products,SELECT,9,1452,192.168.1.25,55.61757445739454,0,0,normal
19,2025-01-01 08:13:10,admin_04,admin,sales,SELECT,10,1248,10.0.0.24,144.95166268767568,0,0,normal
20,2025-01-01 08:18:16,user_009,normal,reports,SELECT,4,508,192.168.2.1,55.69147695866251,0,0,normal
21,2025-01-01 08:25:35,user_013,normal,invoices,SELECT,3,269,192.168.1.15,30.40810144761503,0,0,normal
22,2025-01-01 08:30:58,user_027,normal,sales,SELECT,1,255,192.168.1.49,63.532992237354705,0,0,normal
23,2025-01-01 08:31:21,user_043,normal,products,SELECT,5,253,192.168.2.42,20.278804875296274,0,0,normal
24,2025-01-01 08:41:06,analyst_06,analyst,customers,SELECT,5,351,192.168.1.48,298.0812064222917,0,0,normal
25,2025-01-01 08:48:01,user_003,normal,invoices,SELECT,4,286,192.168.1.5,5.573048725830221,0,0,normal
26,2025-01-01 08:48:27,user_009,normal,reports,SELECT,8,838,192.168.2.1,29.968214815180882,0,0,normal
27,2025-01-01 09:06:16,user_020,normal,inventory,SELECT,9,1015,10.0.0.3,3.318152539672983,0,0,normal
28,2025-01-01 09:09:59,admin_01,admin,salary,INSERT,8,673,192.168.1.32,28.912324866774252,0,0,normal
29,2025-01-01 09:13:20,user_008,normal,transactions,SELECT,1,747,192.168.1.39,4.917853072420524,0,0,normal
30,2025-01-01 09:14:20,analyst_10,analyst,invoices,SELECT,5,2309,10.0.0.1,41.4028442775449,0,0,normal
31,2025-01-01 09:15:33,user_040,normal,invoices,SELECT,7,513,192.168.2.1,96.80595255090651,0,0,normal
32,2025-01-01 09:18:52,user_025,normal,reports,SELECT,7,1106,192.168.1.26,100.84530189409587,0,0,normal
33,2025-01-01 09:18:58,analyst_02,analyst,invoices,SELECT,6,749,192.168.1.23,185.73808994013962,0,0,normal
34,2025-01-01 09:23:59,analyst_04,analyst,reports,SELECT,11,1305,192.168.1.25,46.16138118422636,0,0,normal
35,2025-01-01 09:24:34,admin_02,admin,system_config,SELECT,4,941,192.168.2.45,59.49759030314821,0,0,normal
36,2025-01-01 09:25:15,user_022,normal,customers,SELECT,5,1130,192.168.1.6,2.0790725958646212,0,0,normal
37,2025-01-01 09:25:37,analyst_07,analyst,customers,SELECT,14,2295,10.0.0.18,20.124061092656234,0,0,normal
38,2025-01-01 09:30:51,user_038,normal,products,SELECT,4,1075,192.168.2.36,111.8888118831853,0,0,normal
39,2025-01-01 09:32:16,admin_05,admin,orders,UPDATE,14,1635,10.0.0.11,323.4674354858788,0,0,normal
40,2025-01-01 09:32:53,analyst_01,analyst,sales,SELECT,13,988,10.0.0.7,273.3285069704786,0,0,normal
41,2025-01-01 09:35:13,user_025,normal,products,SELECT,1,943,192.168.1.26,0.4986695229076359,0,0,normal
42,2025-01-01 09:36:53,admin_04,admin,system_config,SELECT,4,346,10.0.0.24,46.173908445203736,0,0,normal
43,2025-01-01 09:40:53,user_044,normal,inventory,SELECT,4,1044,192.168.1.11,156.8816392980162,0,0,normal
44,2025-01-01 09:41:06,analyst_04,analyst,reports,SELECT,9,595,192.168.1.25,141.2827951984798,0,0,normal
45,2025-01-01 09:46:52,analyst_09,analyst,inventory,INSERT,19,623,192.168.2.14,408.7093384500177,0,0,normal
46,2025-01-01 09:48:29,analyst_06,analyst,customers,INSERT,7,1749,192.168.1.48,287.3211295195627,0,0,normal
47,2025-01-01 09:51:39,analyst_07,analyst,invoices,INSERT,6,829,10.0.0.18,15.897895362531232,0,0,normal
48,2025-01-01 09:52:10,user_012,normal,customers,INSERT,5,628,192.168.1.38,105.18035842136437,0,0,normal
49,2025-01-01 09:53:10,user_005,normal,customers,SELECT,9,617,192.168.1.22,1.7534526517534732,0,0,normal
50,2025-01-01 09:53:42,user_042,normal,products,SELECT,5,601,192.168.1.40,6.965849563419776,0,0,normal
